subject	session	task	status	action	dest_session	dest_run	raw_path	bold_path	same_task_other_sessions	notes
sub-s03	ses-01	goNogo	matched	copy	ses-01		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-01/sub-s03_ses-1_task-go-nogo_desc-raw.csv	/scratch/users/logben/discovery_bids/sub-s03/ses-01/func/sub-s03_ses-01_task-goNogo_run-1_echo-1_bold.nii.gz		- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-01	nBack	bold_without_behavioral	irreconcilable				/scratch/users/logben/discovery_bids/sub-s03/ses-01/func/sub-s03_ses-01_task-nBack_run-1_echo-1_bold.nii.gz	ses-02:matched,ses-03:matched,ses-05:matched,ses-07:matched,ses-09:matched	- Scan 1: Missing T2w; issue with nBack.; - **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |
sub-s03	ses-01	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-01/func/sub-s03_ses-01_task-rest_run-1_echo-1_bold.nii.gz	ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-01	shapeMatching	matched	copy	ses-01		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-01/sub-s03_ses-1_task-shape-matching_desc-raw.csv	/scratch/users/logben/discovery_bids/sub-s03/ses-01/func/sub-s03_ses-01_task-shapeMatching_run-1_echo-1_bold.nii.gz		- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-01	spatialTS	matched	copy	ses-01		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-01/sub-s03_ses-1_task-spatial-task-switching_desc-raw.csv	/scratch/users/logben/discovery_bids/sub-s03/ses-01/func/sub-s03_ses-01_task-spatialTS_run-1_echo-1_bold.nii.gz		- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-02	cuedTS	matched	copy	ses-02		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-02/cued_task_switching_single_task_network__fmri_results (5).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-02/func/sub-s03_ses-02_task-cuedTS_run-1_echo-1_bold.nii.gz		- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-02	directedForgetting	matched	copy	ses-02		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-02/directed_forgetting_single_task_network__fmri_results (2).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-02/func/sub-s03_ses-02_task-directedForgetting_run-1_echo-1_bold.nii.gz		- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-02	flanker	matched	copy	ses-02		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-02/flanker_single_task_network__fmri_results (7).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-02/func/sub-s03_ses-02_task-flanker_run-1_echo-1_bold.nii.gz		- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-02	nBack	matched	copy	ses-02		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-02/n_back_single_task_network__fmri_results (7).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-02/func/sub-s03_ses-02_task-nBack_run-1_echo-1_bold.nii.gz		- Scan 1: Missing T2w; issue with nBack.; - **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |
sub-s03	ses-02	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-02/func/sub-s03_ses-02_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
